id,name,artist,album
5SxqiqeN1nf8mY3048VbBt,I Fall to Pieces,Loretta Lynn,I Fall to Pieces
6apPqjW8ezpKEicAkkBlvO,Islands in the Stream,Dolly Parton,Pure & Simple
3t8UQeExqrEDovBtETwiZQ,Julianna Calm Down,Dixie Chicks,Julianna Calm Down
5Bdf8CgRjXYnVdZVvsVU8k,First Rose of Spring,Willie Nelson,First Rose of Spring
4BR0bp4qHX1lcBM2HtnoIm,Gaslighter,Dixie Chicks,Gaslighter
4BcrWCZPXuoGU0SnAsJW1s,He Stopped Loving Her Today,George Jones,George Jones - 16 Biggest Hits
0vCAPfv3uhJ6LphMX2eYiP,D-I-V-O-R-C-E,Tammy Wynette,Stand By Your Man: The Very Best Of Tammy Wynette
3pSJ9aOT4w7ZQTJaSNSA5w,Our Song,Willie Nelson,Our Song
4NRFiS0pHjTFDjOm1LWTZj,Behind Closed Doors,Charlie Rich,Behind Closed Doors (Expanded Edition)
2hckAvL66faAcR0Fk64hj6,Pancho and Lefty,Merle Haggard,The Essential Merle Haggard: The Epic Years
5yiq280AZAw0JJ39nRZEM3,Girl in the Movies - from the Dumplin' Original Motion Picture Soundtrack,Dolly Parton,Girl in the Movies (from the Dumplin' Original Motion Picture Soundtrack)
7rPA2F0NvMT0ccgEZng2D8,Just to Satisfy You,Waylon Jennings,Just to Satisfy You
1dYzyMPamadiJePbzc4gVv,Folsom Prison Blues,Johnny Cash,Classic Country
2oBWSqXeG46hZnxsv01naR,Ain't No Time to Go,Loretta Lynn,Ain't No Time to Go
35zLfgxJ4D6gulofx8ZwaO,Jolene,Dolly Parton,Classic Country
6FUtmdrm80AtIRgwylCAHK,Hangin' On,Waylon Jennings,Hangin' On
3EtpfiIAgG9r4zqx6HVTE7,Best Years of My Life,Pistol Annies,Best Years of My Life
63XpnykOsEupyLGLMUVaKs,Something To Reach For,Porter Wagoner,Say Forever You'll Be Mine
5VM7fnOWelmqQlry8vzohP,My Favorite Picture of You,Willie Nelson,My Favorite Picture of You
5PFQlK8KgHlvl4qfwZ7xsn,I Started Loving You Again,Stonewall Jackson,The Real Thing
59XJthatBqnNDojf6G6Txt,Don't Come Home a' Drinkin' (With Lovin' On Your Mind),Norma Jean,Country Giants
7LJAJPLvX8XUxRQJudFmmY,Ride Me Back Home,Willie Nelson,Ride Me Back Home
55CZpjiHsHAMJURSA8OtsO,Here I Am - from the Dumplin' Original Motion Picture Soundtrack,Dolly Parton,Here I Am (from the Dumplin' Original Motion Picture Soundtrack)
6cMGqqwcyWeh19M2kP4Tgh,Mr. Record Man,Jeannie Seely,I'll Love You More
6N1zYHTCMC5fcwAudFH6We,I've Wanted You,First Aid Kit,Tender Offerings - EP
128iOFyRUphWUDcYm8BlQu,Wouldn't It Be Great?,Loretta Lynn,Wouldn't It Be Great?
10kTdtOKw9ohoEF1s1Bi9K,Little Old Wine Drinker,Stonewall Jackson,The Real Thing
4qrjPovicVj3g2rfuiALQ3,Has Anybody Seen Me Lately,Hank Cochran,The Heart of Hank
5kXmiepRVuKhhz0SxyCVeL,The Most Beautiful Girl,Charlie Rich,Charlie Rich - 16 Biggest Hits
3Jwv1V4YDrLUvNq5ANLB0F,I'll Leave the Bottle On the Bar (with Merle Haggard),Johnny Paycheck,Mr. Hag Told My Story
0sJchoPZwC2MV8WzZRoZUk,The Last Thing On My Mind,Porter Wagoner,The Essential Porter Wagoner & Dolly Parton
0h5YdVi6qT3hqBtogsyHpk,"It's a Long, Long Way to Georgia",Don Gibson,More Country Soul
5zftyYOUGnic8CnEKYiHyl,Take Care of Our Baby,Carl Smith,Deep Water
7zVZF0OgDJkFJohnlKwEpa,Amos Moses,Jerry Reed,Georgia Sunshine
2OtqUtqJf6IOJnpieKf2eF,Ruby's Stool,Loretta Lynn,Ruby's Stool
7heTBpIS8feOTqAqx1J3Nt,Fireworks,First Aid Kit,Fireworks
4WWd6vikXk2rjP9B7W7vZg,The Dark End of the Street,Porter Wagoner,Just the Two of Us
55cMgbaMkBRCFPAZD81Erd,Harper Valley PTA,Norma Jean,Country Giants
7fqlBxDN9ht1VQiHZzidzO,Even the Bad Times Are Good,Connie Smith,Young Love
69XtBmTBWZ71RU58rNiKpz,Just Because I'm A Woman,Jeannie Seely,Little Things
1aXnyx4AAUVjvOK7WcYg0T,You'll Never Walk Alone,Dottie West,Sings Sacred Ballads
6COvDh43VV3QtorWFgtcuV,"Mister, Come and Get Your Wife",Carl Smith,I Love You Because
0TyzhadyDIUOQN6urWq0zG,This Town Is Killing Me,Caitlyn Smith,Starfire
0alXPC11fIucBFD6qcCE94,Kiss an Angel Good Mornin',Charley Pride,The Essential Charley Pride
7DH5dXVuQaqcKf9oTy9oUN,He'll Have to Go,Jim Reeves,The Essential Jim Reeves
1S4oGJX9F03A8hKNEIhpDI,God Walks These Hills with Me,Don Gibson,God Walks These Hills
5uOPYMghCR0xdLXQGJfG0g,Tell Me a Lie,Janie Fricke,Love Lies
4ODWuHnOmsoAyOanFqiFtJ,This Woman Is Mine,Vernon Oxford,The Way I Sing
4NzlpYVrTYG1eo8BCu3MLB,East Bound and Down,Jerry Reed,East Bound and Down
5KqldkCunQ2rWxruMEtGh0,The Gambler,Kenny Rogers,The Gambler
3C8ZSKcPFTigLcTyjTC8Dk,Jolene - New String Version [from the Dumplin' Original Motion Picture Soundtrack],Dolly Parton,Jolene (New String Version [from the Dumplin' Original Motion Picture Soundtrack])
3stycPJW4UpKRb48eyAXEg,I'm So Lonesome I Could Cry,Willie Nelson,Willie and the Boys: Willie's Stash Vol. 2
